OBJECTID,COUNTYFP10,MAZ,TAZ,PUMA5,tractid,CensusTract,Bloc_GroupID,BlockGroup,COUNTY,COUNTY_N
12775,85,219302,200333,2712,6085511905.000000000000000,511905,60855119051.000000000000000,1,SANTA CLARA,7
12776,85,219308,200616,2712,6085511916.000000000000000,511916,60855119162.000000000000000,2,SANTA CLARA,7
12777,85,219311,200743,2707,6085507302.000000000000000,507302,60855073021.000000000000000,1,SANTA CLARA,7
12778,85,219312,200251,2703,6085505006.000000000000000,505006,60855050061.000000000000000,1,SANTA CLARA,7
12779,85,219315,200708,2709,6085502101.000000000000000,502101,60855021013.000000000000000,3,SANTA CLARA,7
12780,85,219317,201072,2709,6085502101.000000000000000,502101,60855021011.000000000000000,1,SANTA CLARA,7
12781,85,219319,201072,2709,6085502101.000000000000000,502101,60855021011.000000000000000,1,SANTA CLARA,7
12782,85,219320,200192,2709,6085502002.000000000000000,502002,60855020023.000000000000000,3,SANTA CLARA,7
12783,85,219323,200192,2709,6085502002.000000000000000,502002,60855020023.000000000000000,3,SANTA CLARA,7
12784,85,219325,200192,2709,6085502002.000000000000000,502002,60855020022.000000000000000,2,SANTA CLARA,7
12785,85,219327,200192,2709,6085502002.000000000000000,502002,60855020022.000000000000000,2,SANTA CLARA,7
12786,85,219329,200785,2713,6085512017.000000000000000,512017,60855120171.000000000000000,1,SANTA CLARA,7
12787,85,219331,200785,2713,6085512017.000000000000000,512017,60855120171.000000000000000,1,SANTA CLARA,7
12788,85,219332,200720,2713,6085512042.000000000000000,512042,60855120421.000000000000000,1,SANTA CLARA,7
12789,85,219343,200375,2701,6085510002.000000000000000,510002,60855100023.000000000000000,3,SANTA CLARA,7
12790,85,219347,200461,2701,6085509801.000000000000000,509801,60855098012.000000000000000,2,SANTA CLARA,7
12791,85,219349,200507,2701,6085509700.000000000000000,509700,60855097001.000000000000000,1,SANTA CLARA,7
12792,85,219350,200026,2701,6085509700.000000000000000,509700,60855097003.000000000000000,3,SANTA CLARA,7
12793,85,219354,200194,2704,6085504423.000000000000000,504423,60855044231.000000000000000,1,SANTA CLARA,7
12794,85,219358,200518,2704,6085504418.000000000000000,504418,60855044182.000000000000000,2,SANTA CLARA,7
12795,85,219361,200190,2704,6085504314.000000000000000,504314,60855043144.000000000000000,4,SANTA CLARA,7
12796,85,219362,200190,2704,6085504314.000000000000000,504314,60855043144.000000000000000,4,SANTA CLARA,7
12797,85,219363,200022,2701,6085509304.000000000000000,509304,60855093042.000000000000000,2,SANTA CLARA,7
12798,85,219364,200009,2701,6085509302.000000000000000,509302,60855093021.000000000000000,1,SANTA CLARA,7
12799,85,219372,200248,2704,6085504420.000000000000000,504420,60855044203.000000000000000,3,SANTA CLARA,7
12800,85,219375,200186,2705,6085504001.000000000000000,504001,60855040011.000000000000000,1,SANTA CLARA,7
12801,85,219379,200450,2714,6085503305.000000000000000,503305,60855033052.000000000000000,2,SANTA CLARA,7
12802,85,219381,200230,2713,6085503336.000000000000000,503336,60855033362.000000000000000,2,SANTA CLARA,7
12803,85,219382,200696,2713,6085503210.000000000000000,503210,60855032101.000000000000000,1,SANTA CLARA,7
12804,85,219383,200696,2713,6085503210.000000000000000,503210,60855032101.000000000000000,1,SANTA CLARA,7
12805,85,219384,200981,2713,6085503210.000000000000000,503210,60855032102.000000000000000,2,SANTA CLARA,7
12806,85,219385,200631,2712,6085512031.000000000000000,512031,60855120312.000000000000000,2,SANTA CLARA,7
12807,85,219386,200732,2712,6085512030.000000000000000,512030,60855120301.000000000000000,1,SANTA CLARA,7
12808,85,219387,200732,2712,6085512030.000000000000000,512030,60855120301.000000000000000,1,SANTA CLARA,7
12809,85,219388,200680,2712,6085512029.000000000000000,512029,60855120292.000000000000000,2,SANTA CLARA,7
12810,85,219389,200680,2712,6085512029.000000000000000,512029,60855120292.000000000000000,2,SANTA CLARA,7
12811,85,219400,200986,2712,6085512045.000000000000000,512045,60855120454.000000000000000,4,SANTA CLARA,7
12812,85,219401,200108,2712,6085512045.000000000000000,512045,60855120453.000000000000000,3,SANTA CLARA,7
12813,85,219402,200095,2712,6085512045.000000000000000,512045,60855120451.000000000000000,1,SANTA CLARA,7
12814,85,219403,200095,2712,6085512045.000000000000000,512045,60855120451.000000000000000,1,SANTA CLARA,7
12815,85,219405,200745,2713,6085503327.000000000000000,503327,60855033272.000000000000000,2,SANTA CLARA,7
12816,85,219406,200153,2713,6085503333.000000000000000,503333,60855033331.000000000000000,1,SANTA CLARA,7
12817,85,219409,200720,2713,6085512042.000000000000000,512042,60855120421.000000000000000,1,SANTA CLARA,7
12818,85,219410,200079,2711,6085512022.000000000000000,512022,60855120221.000000000000000,1,SANTA CLARA,7
12819,85,219411,200094,2713,6085512043.000000000000000,512043,60855120432.000000000000000,2,SANTA CLARA,7
12820,85,219413,200784,2713,6085512017.000000000000000,512017,60855120172.000000000000000,2,SANTA CLARA,7
12821,85,219417,201023,2701,6085510300.000000000000000,510300,60855103001.000000000000000,1,SANTA CLARA,7
12822,85,219419,200126,2713,6085503332.000000000000000,503332,60855033322.000000000000000,2,SANTA CLARA,7
12823,85,219420,200165,2713,6085503332.000000000000000,503332,60855033321.000000000000000,1,SANTA CLARA,7
12824,85,219422,200164,2713,6085503332.000000000000000,503332,60855033324.000000000000000,4,SANTA CLARA,7
12825,85,219424,200275,2705,6085504308.000000000000000,504308,60855043081.000000000000000,1,SANTA CLARA,7
12826,85,219425,200803,2704,6085504314.000000000000000,504314,60855043142.000000000000000,2,SANTA CLARA,7
12827,85,219427,200596,2713,6085503327.000000000000000,503327,60855033271.000000000000000,1,SANTA CLARA,7
